"signal" "variable" "activity" "subject" "average"
"fBodyAcc" "mean" "sitting" 23 -0.140053524440523
"fBodyAcc" "mean" "sitting" 24 -0.320331768960452
"fBodyAcc" "mean" "sitting" 25 -0.481577490717949
"fBodyAcc" "mean" "sitting" 26 -0.309283942890909
"fBodyAcc" "mean" "sitting" 27 -0.362060771372549
"fBodyAcc" "mean" "sitting" 28 -0.286141117235948
"fBodyAcc" "mean" "sitting" 29 -0.208764288802041
"fBodyAcc" "mean" "sitting" 30 -0.361912145574359
"fBodyAcc" "mean" "standing" 1 -0.0619317935689796
"fBodyAcc" "mean" "standing" 2 0.0866318100304965
"fBodyAcc" "mean" "standing" 3 -0.151441197204082
"fBodyAcc" "mean" "standing" 4 -0.23217643957037
"fBodyAcc" "mean" "standing" 5 -0.0656933370496454
"fBodyAcc" "mean" "standing" 6 0.130159029649306
"fBodyAcc" "mean" "standing" 7 -0.0800585673404255
"fBodyAcc" "mean" "standing" 8 0.228197578719298
"fBodyAcc" "mean" "standing" 9 -0.0612325906296032
"fBodyAcc" "mean" "standing" 10 0.022327839672807
"fBodyAcc" "mean" "standing" 11 -0.105893406468841
"fBodyAcc" "mean" "standing" 12 -0.0760354284978261
"fBodyAcc" "mean" "standing" 13 -0.0867641719602837
"fBodyAcc" "mean" "standing" 14 0.224490859334815
"fBodyAcc" "mean" "standing" 15 0.0476719069880952
"fBodyAcc" "mean" "standing" 16 -0.0484887545530496
"fBodyAcc" "mean" "standing" 17 -0.156992764063261
"fBodyAcc" "mean" "standing" 18 -0.388320255030303
"fBodyAcc" "mean" "standing" 19 0.380709681675641
"fBodyAcc" "mean" "standing" 20 0.100585958715556
"fBodyAcc" "mean" "standing" 21 0.0694967552674074
"fBodyAcc" "mean" "standing" 22 0.0327731043703704
"fBodyAcc" "mean" "standing" 23 0.193963461108642
"fBodyAcc" "mean" "standing" 24 -0.16077745076303
"fBodyAcc" "mean" "standing" 25 -0.374907778603448
"fBodyAcc" "mean" "standing" 26 -0.0876923198673333
"fBodyAcc" "mean" "standing" 27 -0.0737633879628788
"fBodyAcc" "mean" "standing" 28 -0.0108825750362319
"fBodyAcc" "mean" "standing" 29 -0.0590861072380556
"fBodyAcc" "mean" "standing" 30 -0.128899343057527
"fBodyAcc" "mean" "laying" 1 -0.148213899237895
"fBodyAcc" "mean" "laying" 2 -0.27391978039322
"fBodyAcc" "mean" "laying" 3 -0.2700968405
"fBodyAcc" "mean" "laying" 4 -0.402374851313333
"fBodyAcc" "mean" "laying" 5 -0.256191106857738
"fBodyAcc" "mean" "laying" 6 -0.181890955178363
"fBodyAcc" "mean" "laying" 7 -0.122873866942865
"fBodyAcc" "mean" "laying" 8 -0.0563470711111111
"fBodyAcc" "mean" "laying" 9 -0.267731679865385
"fBodyAcc" "mean" "laying" 10 -0.157660510915723
"fBodyAcc" "mean" "laying" 11 -0.365328161877175
"fBodyAcc" "mean" "laying" 12 -0.182661798267333
"fBodyAcc" "mean" "laying" 13 -0.162122187314854
"fBodyAcc" "mean" "laying" 14 -0.257822150477401
"fBodyAcc" "mean" "laying" 15 -0.253687320453148
"fBodyAcc" "mean" "laying" 16 -0.320218049869281
"fBodyAcc" "mean" "laying" 17 -0.269617079808579
"fBodyAcc" "mean" "laying" 18 -0.368284159583333
"fBodyAcc" "mean" "laying" 19 0.0116178837915385
"fBodyAcc" "mean" "laying" 20 -0.00538406098366013
"fBodyAcc" "mean" "laying" 21 -0.179986214626282
"fBodyAcc" "mean" "laying" 22 -0.0697806174188406
"fBodyAcc" "mean" "laying" 23 -0.0888109372875706
"fBodyAcc" "mean" "laying" 24 -0.346702185810345
"fBodyAcc" "mean" "laying" 25 -0.464827466851351
"fBodyAcc" "mean" "laying" 26 -0.269400450610169
"fBodyAcc" "mean" "laying" 27 -0.252619503684211
"fBodyAcc" "mean" "laying" 28 -0.254770699175309
"fBodyAcc" "mean" "laying" 29 -0.150172859246226
"fBodyAcc" "mean" "laying" 30 -0.284939485810256
"fBodyAcc" "std" "walking" 1 -0.942718959219858
"fBodyAcc" "std" "walking" 2 -0.964766236086957
"fBodyAcc" "std" "walking" 3 -0.895194666666667
"fBodyAcc" "std" "walking" 4 -0.932791618466667
"fBodyAcc" "std" "walking" 5 -0.9355752942
"fBodyAcc" "std" "walking" 6 -0.944632238787879
"fBodyAcc" "std" "walking" 7 -0.907197404930556
"fBodyAcc" "std" "walking" 8 -0.945325515507246
"fBodyAcc" "std" "walking" 9 -0.880839633761333
"fBodyAcc" "std" "walking" 10 -0.953733844462963
"fBodyAcc" "std" "walking" 11 -0.957107120943396
"fBodyAcc" "std" "walking" 12 -0.948650137124183
"fBodyAcc" "std" "walking" 13 -0.952422030836735
"fBodyAcc" "std" "walking" 14 -0.935190806783951
"fBodyAcc" "std" "walking" 15 -0.95075073079096
"fBodyAcc" "std" "walking" 16 -0.957124608454106
"fBodyAcc" "std" "walking" 17 -0.972455842916667
"fBodyAcc" "std" "walking" 18 -0.981869585263158
"fBodyAcc" "std" "walking" 19 -0.956924082420091
"fBodyAcc" "std" "walking" 20 -0.94798575040404
"fBodyAcc" "std" "walking" 21 -0.972116341490196
"fBodyAcc" "std" "walking" 22 -0.938320916430108
"fBodyAcc" "std" "walking" 23 -0.93841733645098
"fBodyAcc" "std" "walking" 24 -0.966833569460784
"fBodyAcc" "std" "walking" 25 -0.966352629076923
"fBodyAcc" "std" "walking" 26 -0.953773352008547
"fBodyAcc" "std" "walking" 27 -0.974381977238095
"fBodyAcc" "std" "walking" 28 -0.952629221481481
"fBodyAcc" "std" "walking" 29 -0.972704148222222
"fBodyAcc" "std" "walking" 30 -0.954475802258064
"fBodyAcc" "std" "walking_upstairs" 1 -0.856984850046667
"fBodyAcc" "std" "walking_upstairs" 2 -0.979687924236111
"fBodyAcc" "std" "walking_upstairs" 3 -0.970354937795699
"fBodyAcc" "std" "walking_upstairs" 4 -0.953666768950617
"fBodyAcc" "std" "walking_upstairs" 5 -0.967915090512821
"fBodyAcc" "std" "walking_upstairs" 6 -0.92872630327076
"fBodyAcc" "std" "walking_upstairs" 7 -0.935806376410256
"fBodyAcc" "std" "walking_upstairs" 8 -0.934169517604938
"fBodyAcc" "std" "walking_upstairs" 9 -0.9319296472
"fBodyAcc" "std" "walking_upstairs" 10 -0.958003618229885
"fBodyAcc" "std" "walking_upstairs" 11 -0.97685985877193
"fBodyAcc" "std" "walking_upstairs" 12 -0.951409505333333
"fBodyAcc" "std" "walking_upstairs" 13 -0.953424850806452
"fBodyAcc" "std" "walking_upstairs" 14 -0.903749805098039
"fBodyAcc" "std" "walking_upstairs" 15 -0.953411082222222
"fBodyAcc" "std" "walking_upstairs" 16 -0.957005694857143
"fBodyAcc" "std" "walking_upstairs" 17 -0.955115699248826
"fBodyAcc" "std" "walking_upstairs" 18 -0.986097704461538
"fBodyAcc" "std" "walking_upstairs" 19 -0.97388602502008
"fBodyAcc" "std" "walking_upstairs" 20 -0.965953406764706
"fBodyAcc" "std" "walking_upstairs" 21 -0.949702476296296
"fBodyAcc" "std" "walking_upstairs" 22 -0.933127872037037
"fBodyAcc" "std" "walking_upstairs" 23 -0.966325463287037
"fBodyAcc" "std" "walking_upstairs" 24 -0.974265557361111
"fBodyAcc" "std" "walking_upstairs" 25 -0.756344112058904
"fBodyAcc" "std" "walking_upstairs" 26 -0.978714487763158
"fBodyAcc" "std" "walking_upstairs" 27 -0.982822392837838
"fBodyAcc" "std" "walking_upstairs" 28 -0.955366582166667
"fBodyAcc" "std" "walking_upstairs" 29 -0.98683049352657
"fBodyAcc" "std" "walking_upstairs" 30 -0.965930619714286
"fBodyAcc" "std" "walking_downstairs" 1 -0.982086235597484
"fBodyAcc" "std" "walking_downstairs" 2 -0.964466298518519
"fBodyAcc" "std" "walking_downstairs" 3 -0.922388963497268
"fBodyAcc" "std" "walking_downstairs" 4 -0.907890745720238
"fBodyAcc" "std" "walking_downstairs" 5 -0.898944324875
"fBodyAcc" "std" "walking_downstairs" 6 -0.942527903099415
"fBodyAcc" "std" "walking_downstairs" 7 -0.93733963427673
"fBodyAcc" "std" "walking_downstairs" 8 -0.948386812098765
"fBodyAcc" "std" "walking_downstairs" 9 -0.943422032518519
"fBodyAcc" "std" "walking_downstairs" 10 -0.94763613530303
"fBodyAcc" "std" "walking_downstairs" 11 -0.981679690141844
"fBodyAcc" "std" "walking_downstairs" 12 -0.940229473169399
"fBodyAcc" "std" "walking_downstairs" 13 -0.967681866432749
"fBodyAcc" "std" "walking_downstairs" 14 -0.939147771777778
"fBodyAcc" "std" "walking_downstairs" 15 -0.956084439119497
"fBodyAcc" "std" "walking_downstairs" 16 -0.965271732606838
"fBodyAcc" "std" "walking_downstairs" 17 -0.974914951025641
"fBodyAcc" "std" "walking_downstairs" 18 -0.967639080410959
"fBodyAcc" "std" "walking_downstairs" 19 -0.960703129360731
"fBodyAcc" "std" "walking_downstairs" 20 -0.917775816210046
"fBodyAcc" "std" "walking_downstairs" 21 -0.956298967490637
"fBodyAcc" "std" "walking_downstairs" 22 -0.949822583121693
"fBodyAcc" "std" "walking_downstairs" 23 -0.956828631960784
"fBodyAcc" "std" "walking_downstairs" 24 -0.949036370821256
"fBodyAcc" "std" "walking_downstairs" 25 -0.969718270990991
"fBodyAcc" "std" "walking_downstairs" 26 -0.967186627117117
"fBodyAcc" "std" "walking_downstairs" 27 -0.968727408583333
"fBodyAcc" "std" "walking_downstairs" 28 -0.917445852151899
"fBodyAcc" "std" "walking_downstairs" 29 -0.981228699025641
"fBodyAcc" "std" "walking_downstairs" 30 -0.924428716836158
"fBodyAcc" "std" "sitting" 1 -0.0765673745459119
"fBodyAcc" "std" "sitting" 2 -0.110082370565972
"fBodyAcc" "std" "sitting" 3 -0.214723375206215
"fBodyAcc" "std" "sitting" 4 -0.206587160915705
"fBodyAcc" "std" "sitting" 5 -0.042985741529078
"fBodyAcc" "std" "sitting" 6 -0.0759613233353595
"fBodyAcc" "std" "sitting" 7 -0.2486026362
"fBodyAcc" "std" "sitting" 8 0.087960887802439
"fBodyAcc" "std" "sitting" 9 -0.303846216134694
"fBodyAcc" "std" "sitting" 10 -0.0859401808256738
"fBodyAcc" "std" "sitting" 11 -0.13364674678642
"fBodyAcc" "std" "sitting" 12 -0.275901766407051
"fBodyAcc" "std" "sitting" 13 -0.112088936899818
"fBodyAcc" "std" "sitting" 14 0.246072229259259
"fBodyAcc" "std" "sitting" 15 -0.125705208063889
"fBodyAcc" "std" "sitting" 16 -0.210173871081046
"fBodyAcc" "std" "sitting" 17 -0.0885440004645833
"fBodyAcc" "std" "sitting" 18 -0.270253956494253
"fBodyAcc" "std" "sitting" 19 -0.07578596319375
"fBodyAcc" "std" "sitting" 20 -0.0621123248542484
"fBodyAcc" "std" "sitting" 21 -0.119334930992199
"fBodyAcc" "std" "sitting" 22 0.0817847486992063
"fBodyAcc" "std" "sitting" 23 -0.0305803505701307
"fBodyAcc" "std" "sitting" 24 -0.239032225256497
"fBodyAcc" "std" "sitting" 25 -0.291753652266667
"fBodyAcc" "std" "sitting" 26 -0.195897800701212
"fBodyAcc" "std" "sitting" 27 -0.176749639653595
"fBodyAcc" "std" "sitting" 28 -0.231322261548366
"fBodyAcc" "std" "sitting" 29 -0.00575425347027211
"fBodyAcc" "std" "sitting" 30 -0.103037374517128
"fBodyAcc" "std" "standing" 1 -0.128853598502721
"fBodyAcc" "std" "standing" 2 0.00868189950992908
"fBodyAcc" "std" "standing" 3 -0.18829570254966
"fBodyAcc" "std" "standing" 4 -0.265405264859259
"fBodyAcc" "std" "standing" 5 0.00332795406312057
"fBodyAcc" "std" "standing" 6 0.0935344312638889
"fBodyAcc" "std" "standing" 7 -0.0724325180141844
"fBodyAcc" "std" "standing" 8 0.075876412018421
"fBodyAcc" "std" "standing" 9 -0.0193407063293651
"fBodyAcc" "std" "standing" 10 -0.00235406628596491
"fBodyAcc" "std" "standing" 11 -0.0474806996731884
"fBodyAcc" "std" "standing" 12 -0.140768636557971
"fBodyAcc" "std" "standing" 13 -0.13126773830695
"fBodyAcc" "std" "standing" 14 0.245093447187778
"fBodyAcc" "std" "standing" 15 0.0763039085809524
"fBodyAcc" "std" "standing" 16 0.00648776007886525
"fBodyAcc" "std" "standing" 17 -0.0241748670695652
"fBodyAcc" "std" "standing" 18 -0.325864226484848
"fBodyAcc" "std" "standing" 19 0.336023941470085
"fBodyAcc" "std" "standing" 20 0.153102670442815
"fBodyAcc" "std" "standing" 21 0.133266789388148
"fBodyAcc" "std" "standing" 22 0.0623529992314815
"fBodyAcc" "std" "standing" 23 0.0365754060917901
"fBodyAcc" "std" "standing" 24 -0.165217854863152
"fBodyAcc" "std" "standing" 25 -0.276445563881034
"fBodyAcc" "std" "standing" 26 -0.0660494839213333
"fBodyAcc" "std" "standing" 27 -0.0946083500151515
"fBodyAcc" "std" "standing" 28 -0.0712806667911594
"fBodyAcc" "std" "standing" 29 -0.104661223805556
"fBodyAcc" "std" "standing" 30 -0.130462447607097
"fBodyAcc" "std" "laying" 1 -0.180927154742561
"fBodyAcc" "std" "laying" 2 -0.36069773879096
"fBodyAcc" "std" "laying" 3 -0.308768695724713
"fBodyAcc" "std" "laying" 4 -0.381077568632833
"fBodyAcc" "std" "laying" 5 -0.245991543144643
"fBodyAcc" "std" "laying" 6 -0.26466755652848
"fBodyAcc" "std" "laying" 7 -0.110813301081345
"fBodyAcc" "std" "laying" 8 0.00600691014027778
"fBodyAcc" "std" "laying" 9 -0.158596353892179
"fBodyAcc" "std" "laying" 10 -0.257148806401258
"fBodyAcc" "std" "laying" 11 -0.351134511659322
"fBodyAcc" "std" "laying" 12 -0.273789745031333
"fBodyAcc" "std" "laying" 13 -0.176999783697661
"fBodyAcc" "std" "laying" 14 -0.121547256429322
"fBodyAcc" "std" "laying" 15 -0.262994139315741
"fBodyAcc" "std" "laying" 16 -0.314647494869281
"fBodyAcc" "std" "laying" 17 -0.207603887367213
"fBodyAcc" "std" "laying" 18 -0.361734473988095
"fBodyAcc" "std" "laying" 19 -0.0597131105916667
"fBodyAcc" "std" "laying" 20 -0.0210156765947712
"fBodyAcc" "std" "laying" 21 -0.158690384978205
"fBodyAcc" "std" "laying" 22 -0.0751264595246377
"fBodyAcc" "std" "laying" 23 -0.138729300365537
"fBodyAcc" "std" "laying" 24 -0.320049011482759
"fBodyAcc" "std" "laying" 25 -0.397462782562613
"fBodyAcc" "std" "laying" 26 -0.306056360096045
"fBodyAcc" "std" "laying" 27 -0.326171038888889
"fBodyAcc" "std" "laying" 28 -0.264555879538272
"fBodyAcc" "std" "laying" 29 -0.218590872471698
"fBodyAcc" "std" "laying" 30 -0.217902396538462
"fBodyAccJerk" "mean" "walking" 1 -0.984743193971631
"fBodyAccJerk" "mean" "walking" 2 -0.98337251557971
"fBodyAccJerk" "mean" "walking" 3 -0.96665539474359
"fBodyAccJerk" "mean" "walking" 4 -0.965433003
"fBodyAccJerk" "mean" "walking" 5 -0.966587923863636
"fBodyAccJerk" "mean" "walking" 6 -0.957436028909091
"fBodyAccJerk" "mean" "walking" 7 -0.973321453888889
"fBodyAccJerk" "mean" "walking" 8 -0.982731228768116
"fBodyAccJerk" "mean" "walking" 9 -0.960376868466667
"fBodyAccJerk" "mean" "walking" 10 -0.985461545925926
"fBodyAccJerk" "mean" "walking" 11 -0.976470409811321
"fBodyAccJerk" "mean" "walking" 12 -0.972299214183007
"fBodyAccJerk" "mean" "walking" 13 -0.987284506394558
"fBodyAccJerk" "mean" "walking" 14 -0.974423462962963
"fBodyAccJerk" "mean" "walking" 15 -0.983724511242938
"fBodyAccJerk" "mean" "walking" 16 -0.984631485169082
"fBodyAccJerk" "mean" "walking" 17 -0.990566035364583
"fBodyAccJerk" "mean" "walking" 18 -0.988085590994152
"fBodyAccJerk" "mean" "walking" 19 -0.983299213926941
"fBodyAccJerk" "mean" "walking" 20 -0.975537783989899
"fBodyAccJerk" "mean" "walking" 21 -0.984124649529412
"fBodyAccJerk" "mean" "walking" 22 -0.973134899086021
"fBodyAccJerk" "mean" "walking" 23 -0.978447769264706
"fBodyAccJerk" "mean" "walking" 24 -0.983352313921569
"fBodyAccJerk" "mean" "walking" 25 -0.987254081846154
"fBodyAccJerk" "mean" "walking" 26 -0.988626098931624
"fBodyAccJerk" "mean" "walking" 27 -0.987721970761905
"fBodyAccJerk" "mean" "walking" 28 -0.97096186787037
"fBodyAccJerk" "mean" "walking" 29 -0.988599731388889
"fBodyAccJerk" "mean" "walking" 30 -0.985053156344086
"fBodyAccJerk" "mean" "walking_upstairs" 1 -0.942532465933333
"fBodyAccJerk" "mean" "walking_upstairs" 2 -0.984926338611111
"fBodyAccJerk" "mean" "walking_upstairs" 3 -0.976129220107527
"fBodyAccJerk" "mean" "walking_upstairs" 4 -0.965965258024691
"fBodyAccJerk" "mean" "walking_upstairs" 5 -0.977089510897436
"fBodyAccJerk" "mean" "walking_upstairs" 6 -0.952513900584795
"fBodyAccJerk" "mean" "walking_upstairs" 7 -0.974149891153846
"fBodyAccJerk" "mean" "walking_upstairs" 8 -0.970366390061728
"fBodyAccJerk" "mean" "walking_upstairs" 9 -0.961432028733333
"fBodyAccJerk" "mean" "walking_upstairs" 10 -0.97321535183908
"fBodyAccJerk" "mean" "walking_upstairs" 11 -0.979444071754386
"fBodyAccJerk" "mean" "walking_upstairs" 12 -0.966371928666667
"fBodyAccJerk" "mean" "walking_upstairs" 13 -0.982189807903226
"fBodyAccJerk" "mean" "walking_upstairs" 14 -0.969982009738562
"fBodyAccJerk" "mean" "walking_upstairs" 15 -0.975646301481481
"fBodyAccJerk" "mean" "walking_upstairs" 16 -0.986292639571429
"fBodyAccJerk" "mean" "walking_upstairs" 17 -0.979688172018779
"fBodyAccJerk" "mean" "walking_upstairs" 18 -0.987128966820513
"fBodyAccJerk" "mean" "walking_upstairs" 19 -0.981621107188755
"fBodyAccJerk" "mean" "walking_upstairs" 20 -0.981328968235294
"fBodyAccJerk" "mean" "walking_upstairs" 21 -0.979286354555556
"fBodyAccJerk" "mean" "walking_upstairs" 22 -0.965107510972222
"fBodyAccJerk" "mean" "walking_upstairs" 23 -0.985616811712963
"fBodyAccJerk" "mean" "walking_upstairs" 24 -0.983229616759259
"fBodyAccJerk" "mean" "walking_upstairs" 25 -0.960764587945205
"fBodyAccJerk" "mean" "walking_upstairs" 26 -0.987882458991228
"fBodyAccJerk" "mean" "walking_upstairs" 27 -0.98665665963964
"fBodyAccJerk" "mean" "walking_upstairs" 28 -0.97611993725
"fBodyAccJerk" "mean" "walking_upstairs" 29 -0.991190417922705
"fBodyAccJerk" "mean" "walking_upstairs" 30 -0.974738867285714
"fBodyAccJerk" "mean" "walking_downstairs" 1 -0.990267222641509
"fBodyAccJerk" "mean" "walking_downstairs" 2 -0.977199910555556
"fBodyAccJerk" "mean" "walking_downstairs" 3 -0.956779911256831
"fBodyAccJerk" "mean" "walking_downstairs" 4 -0.959527849345238
"fBodyAccJerk" "mean" "walking_downstairs" 5 -0.950956056845238
"fBodyAccJerk" "mean" "walking_downstairs" 6 -0.962876507251462
"fBodyAccJerk" "mean" "walking_downstairs" 7 -0.970572607421384
"fBodyAccJerk" "mean" "walking_downstairs" 8 -0.981561368950617
"fBodyAccJerk" "mean" "walking_downstairs" 9 -0.967022422666667
"fBodyAccJerk" "mean" "walking_downstairs" 10 -0.959331479621212
"fBodyAccJerk" "mean" "walking_downstairs" 11 -0.986711087730496
"fBodyAccJerk" "mean" "walking_downstairs" 12 -0.965461980655738
"fBodyAccJerk" "mean" "walking_downstairs" 13 -0.983519870292398
"fBodyAccJerk" "mean" "walking_downstairs" 14 -0.970716659722222
"fBodyAccJerk" "mean" "walking_downstairs" 15 -0.97862350163522
"fBodyAccJerk" "mean" "walking_downstairs" 16 -0.98651864482906
"fBodyAccJerk" "mean" "walking_downstairs" 17 -0.989323733760684
"fBodyAccJerk" "mean" "walking_downstairs" 18 -0.983684771461187
"fBodyAccJerk" "mean" "walking_downstairs" 19 -0.979504745844749
"fBodyAccJerk" "mean" "walking_downstairs" 20 -0.949389717123288
"fBodyAccJerk" "mean" "walking_downstairs" 21 -0.972028890524345
"fBodyAccJerk" "mean" "walking_downstairs" 22 -0.968226033280423
"fBodyAccJerk" "mean" "walking_downstairs" 23 -0.976023347794118
"fBodyAccJerk" "mean" "walking_downstairs" 24 -0.974350900483092
"fBodyAccJerk" "mean" "walking_downstairs" 25 -0.981930453018018
"fBodyAccJerk" "mean" "walking_downstairs" 26 -0.983805987342342
"fBodyAccJerk" "mean" "walking_downstairs" 27 -0.982917268291667
"fBodyAccJerk" "mean" "walking_downstairs" 28 -0.956144644092827
